"Class_ID","Department","Number","Section","Name_SOLAR","Section_ID","Title_Catalog","Instructor","Days","Time","Enrolled","Units","Mode","Type","term","crn","note","title","xlist","xlist_crn","instructor","group","theme","graduate_level","year_long","subject","status","units","quarter","duration","no_prereq","days","time","location","meetings","seats_available","reserved_seats","instruction_mode","Students","Seats","Percent_Fill","Level"
"PHYS 323 Topics in Optics","PHYS",323,"S","Topics in Optics","PHYS 323 S","PHYS 323 S - Topics in Optics","Illing","TuTh","10:30 - 11:50","6 of 24",1,"In-Person Instruction Only","LECTURE","Spring 2024",31064,NA,"Topics in Optics","[]","[]","Illing, Lucas","['3', '3+']","[]",NA,"N","Physics","active",1,NA,"1 semester","N","['TuTh']","['10:30-11:50']","['PHYSIC 240A']","[['Tuesday', '1030', '1150', 'PHYSIC 240A'], ['Thursday', '1030', '1150', 'PHYSIC 240A']]","any students, new students","N","In-Person Instruction Only",6,24,0.25,3
"PHYS 332 Advanced Laboratory II","PHYS",332,"S01","Advanced Laboratory II","PHYS 332 S01","PHYS 332 S01 - Advanced Laboratory II","Heath","Tu
M","13:40 - 16:30
15:10 - 16:00","6 of 8",1,"In-Person Instruction Only","LECTURE AND LAB","Spring 2024",31060,NA,"Advanced Laboratory II","[]","[]","Heath, Jennifer","['3', '3+']","[]",NA,"N","Physics","active",1,NA,"1 semester","N","['Tu', 'M']","['13:40-16:30', '15:10-16:00']","['PHYSIC 227', 'PHYSIC 123']","[['Tuesday', '1340', '1630', 'PHYSIC 227'], ['Monday', '1510', '1600', 'PHYSIC 123']]","any students, new students","N","In-Person Instruction Only",6,8,0.75,3
"PHYS 332 Advanced Laboratory II","PHYS",332,"S02","Advanced Laboratory II","PHYS 332 S02","PHYS 332 S02 - Advanced Laboratory II","Heath","W
M","13:10 - 16:00
15:10 - 16:00","7 of 8",1,"In-Person Instruction Only","LECTURE AND LAB","Spring 2024",31061,NA,"Advanced Laboratory II","[]","[]","Heath, Jennifer","['3', '3+']","[]",NA,"N","Physics","active",1,NA,"1 semester","N","['W', 'M']","['13:10-16:00', '15:10-16:00']","['PHYSIC 227', 'PHYSIC 123']","[['Wednesday', '1310', '1600', 'PHYSIC 227'], ['Monday', '1510', '1600', 'PHYSIC 123']]","any students, new students","N","In-Person Instruction Only",7,8,0.875,3
"PHYS 342 Quantum Mechanics I","PHYS",342,"S","Quantum Mechanics I","PHYS 342 S","PHYS 342 S - Quantum Mechanics I","Schroeter","MWF","9:00 - 9:50","19 of 24",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30092,NA,"Quantum Mechanics I","[]","[]","Schroeter, Darrell","['3']","[]",NA,"N","Physics","active",1,NA,"1 semester","N","['MWF']","['09:00-09:50']","['PHYSIC 123']","[['Monday', '0900', '0950', 'PHYSIC 123'], ['Wednesday', '0900', '0950', 'PHYSIC 123'], ['Friday', '0900', '0950', 'PHYSIC 123']]","any students, new students","N","In-Person Instruction Only",19,24,0.791666666666667,3
"PHYS 362 Solid State Physics","PHYS",362,"S","Solid State Physics","PHYS 362 S","PHYS 362 S - Solid State Physics","Charles","MWF","11:00 - 11:50","9 of 24",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",31063,NA,"Solid State Physics","[]","[]","Charles, Noah","['3']","[]",NA,"N","Physics","active",1,NA,"1 semester","N","['MWF']","['11:00-11:50']","['PHYSIC 122']","[['Monday', '1100', '1150', 'PHYSIC 122'], ['Wednesday', '1100', '1150', 'PHYSIC 122'], ['Friday', '1100', '1150', 'PHYSIC 122']]","any students, new students","N","In-Person Instruction Only",9,24,0.375,3
"PHYS 442 Quantum Mechanics II","PHYS",442,"S","Quantum Mechanics II","PHYS 442 S","PHYS 442 S - Quantum Mechanics II","Franklin","MWF","10:00 - 10:50","10 of 24",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30093,NA,"Quantum Mechanics II","[]","[]","Franklin, Joel","['3']","[]",NA,"N","Physics","active",1,NA,"1 semester","N","['MWF']","['10:00-10:50']","['PHYSIC 240A']","[['Monday', '1000', '1050', 'PHYSIC 240A'], ['Wednesday', '1000', '1050', 'PHYSIC 240A'], ['Friday', '1000', '1050', 'PHYSIC 240A']]","any students, new students","N","In-Person Instruction Only",10,24,0.416666666666667,4
"PHYS 470 Thesis (Physics)","PHYS",470,"Y","Thesis (Physics)","PHYS 470 Y","PHYS 470 Y - Thesis (Physics)","Staff",NA,"TBD","0 of 50",1,"Instruction mode N/A","INDEPENDENT STUDY","Spring 2024",30013,NA,"Thesis (Physics)","[]","[]","Staff","[]","[]",NA,"Y","Physics","active",1,NA,"Year-long","N","[]","['TBD']","[]","[]","any students, new students","N","N/A",0,50,0,4
"POL 240 Intro to Int 'l Relations","POL",240,"S01","Intro to Int 'l Relations","POL 240 S01","POL 240 S01 - Intro to Int 'l Relations","Montgomery","Th
Tu","12:00 - 13:20
13:40 - 15:00","13 of 24",1,"In-Person Instruction Only","LECTURE AND CONFERENCE","Spring 2024",31065,NA,"Intro to Int'l Relations","[]","[]","Montgomery, Alex","['2']","[]",NA,"N","Political Science","active",1,NA,"1 semester","Y","['Th', 'Tu']","['12:00-13:20', '13:40-15:00']","['VILASE ASPEN MR', 'VOLLUM VLH']","[['Thursday', '1200', '1320', 'VILASE ASPEN MR'], ['Tuesday', '1340', '1500', 'VOLLUM VLH']]","any students, new students","Y","In-Person Instruction Only",13,24,0.541666666666667,2
"POL 240 Intro to Int 'l Relations","POL",240,"S02","Intro to Int 'l Relations","POL 240 S02","POL 240 S02 - Intro to Int 'l Relations","Montgomery","Tu
Th","13:40 - 15:00
13:40 - 15:00","15 of 24",1,"In-Person Instruction Only","LECTURE AND CONFERENCE","Spring 2024",31066,NA,"Intro to Int'l Relations","[]","[]","Montgomery, Alex","['2']","[]",NA,"N","Political Science","active",1,NA,"1 semester","Y","['Tu', 'Th']","['13:40-15:00', '13:40-15:00']","['VOLLUM VLH', 'VILASE ASPEN MR']","[['Tuesday', '1340', '1500', 'VOLLUM VLH'], ['Thursday', '1340', '1500', 'VILASE ASPEN MR']]","any students, new students","Y","In-Person Instruction Only",15,24,0.625,2
"POL 240 Intro to Int 'l Relations","POL",240,"S03","Intro to Int 'l Relations","POL 240 S03","POL 240 S03 - Intro to Int 'l Relations","Musthaq","Tu
Th","13:40 - 15:00
15:10 - 16:30","8 of 24",1,"In-Person Instruction Only","LECTURE AND CONFERENCE","Spring 2024",31067,NA,"Intro to Int'l Relations","[]","[]","Musthaq, Fathimath","['2']","[]",NA,"N","Political Science","active",1,NA,"1 semester","Y","['Tu', 'Th']","['13:40-15:00', '15:10-16:30']","['VOLLUM VLH', 'VOLLUM 134']","[['Tuesday', '1340', '1500', 'VOLLUM VLH'], ['Thursday', '1510', '1630', 'VOLLUM 134']]","any students, new students","Y","In-Person Instruction Only",8,24,0.333333333333333,2
