"Department","Level","Val","Count"
"POL",300,6,3
"POL",300,13,1
"POL",300,14,1
"POL",300,16,2
"POL",400,0,1
"PSRL",400,0,1
"PSY",300,13,1
"PSY",400,0,1
"REAM",400,0,1
"REL",100,12,1
"REL",100,21,2
"REL",100,22,1
"REL",200,8,1
"REL",200,18,1
"REL",300,8,1
"REL",300,9,2
"REL",300,11,1
"REL",400,0,1
"REL",400,8,1
"REPO",400,0,1
"RTHE",400,0,1
"RUAN",400,0,1
"RUSS",100,6,1
"RUSS",200,4,1
"RUSS",300,12,1
"RUSS",300,15,1
"RUSS",300,19,1
"RUSS",400,0,1
"SA",300,0,1
"SA",300,1,2
"SOC",200,11,1
"SOC",200,13,1
"SOC",200,19,1
"SOC",200,20,1
"SOC",200,22,1
"SOC",300,5,1
"SOC",300,7,1
"SOC",300,16,1
"SOC",300,22,1
"SOC",400,0,1
"SOSP",400,0,1
"SPAN",100,8,1
"SPAN",100,16,1
"SPAN",200,10,1
"SPAN",200,12,1
"SPAN",300,16,1
"SPAN",300,21,1
"SPAN",400,0,1
"THDC",400,0,1
"THEA",100,8,1
"THEA",100,11,1
"THEA",100,18,1
"THEA",200,5,1
"THEA",200,6,1
"THEA",200,9,2
"THEA",200,12,1
"THEA",400,0,1
